Image,ESPCN PSNR,BICUBIC PSNR,Upscale
baboon.png,21.013696670532227,20.908870697021484,4
barbara.png,24.074203491210938,23.796005249023438,4
bridge.png,23.398345947265625,23.055782318115234,4
coastguard.png,24.34333610534668,23.983173370361328,4
comic.png,21.443784713745117,20.875545501708984,4
face.png,30.441797256469727,30.347061157226562,4
flowers.png,25.396291732788086,24.501188278198242,4
foreman.png,27.205026626586914,25.997032165527344,4
lenna.png,29.41020965576172,28.580018997192383,4
man.png,24.91619300842285,24.410423278808594,4
monarch.png,27.812482833862305,26.225282669067383,4
pepper.png,28.897172927856445,27.875469207763672,4
ppt3.png,22.7034969329834,21.03079605102539,4
zebra.png,24.719520568847656,23.2675724029541,4
