Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,21.525419235229492,21.005399703979492,5
000002.png,26.749473571777344,25.937095642089844,5
000003.png,31.71175193786621,31.746822357177734,5
000004.png,22.16588592529297,21.858903884887695,5
000005.png,28.140308380126953,27.12346076965332,5
000006.png,24.7835636138916,24.24748992919922,5
000007.png,24.666549682617188,23.672321319580078,5
000008.png,24.45113754272461,23.058147430419922,5
000009.png,25.203983306884766,24.77950096130371,5
000010.png,27.585905075073242,26.638225555419922,5
000011.png,31.948347091674805,29.406227111816406,5
000012.png,27.175838470458984,26.458621978759766,5
000013.png,26.508075714111328,25.776676177978516,5
000014.png,28.101154327392578,26.671266555786133,5
000015.png,27.459447860717773,26.191556930541992,5
000016.png,29.375322341918945,28.63079261779785,5
000017.png,28.588666915893555,27.10138511657715,5
000018.png,22.90865135192871,22.61304473876953,5
000019.png,24.51279067993164,24.237756729125977,5
000020.png,26.474254608154297,25.5535888671875,5
000021.png,28.690183639526367,27.040727615356445,5
000022.png,27.783668518066406,27.046689987182617,5
000023.png,25.074913024902344,24.325101852416992,5
000024.png,24.481107711791992,24.041976928710938,5
000025.png,28.01714324951172,27.399492263793945,5
000026.png,27.203857421875,26.77050018310547,5
000027.png,28.267534255981445,27.689964294433594,5
000028.png,27.025508880615234,26.86003875732422,5
000029.png,26.514413833618164,25.89594078063965,5
000030.png,26.763477325439453,26.538394927978516,5
