Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,22.358333587646484,21.85955238342285,4
000002.png,28.2239990234375,27.361038208007812,4
000003.png,33.33302688598633,33.380210876464844,4
000004.png,22.82496452331543,22.5318546295166,4
000005.png,29.723966598510742,28.79450225830078,4
000006.png,25.965137481689453,25.366809844970703,4
000007.png,25.694190979003906,24.966135025024414,4
000008.png,25.793474197387695,24.393428802490234,4
000009.png,26.093021392822266,25.753374099731445,4
000010.png,29.031612396240234,28.133270263671875,4
000011.png,33.23929214477539,31.29016876220703,4
000012.png,28.87594223022461,27.94639778137207,4
000013.png,27.545072555541992,26.956567764282227,4
000014.png,29.50775909423828,28.26599884033203,4
000015.png,29.243942260742188,28.043725967407227,4
000016.png,31.056896209716797,30.071632385253906,4
000017.png,30.291650772094727,28.950000762939453,4
000018.png,23.988065719604492,23.657800674438477,4
000019.png,26.059513092041016,25.53835678100586,4
000020.png,27.857349395751953,27.020122528076172,4
000021.png,30.139638900756836,28.734249114990234,4
000022.png,29.06599998474121,28.38026237487793,4
000023.png,26.09061050415039,25.406587600708008,4
000024.png,25.55095863342285,25.135902404785156,4
000025.png,29.512924194335938,28.839418411254883,4
000026.png,28.493806838989258,27.98161506652832,4
000027.png,29.742984771728516,29.01151466369629,4
000028.png,28.35839080810547,28.076148986816406,4
000029.png,27.98525047302246,27.209999084472656,4
000030.png,27.90085792541504,27.683706283569336,4
