epoch,train_loss,Upscale
0,0.012342769652605057,4
1,0.0072401720099151134,4
2,0.006644614040851593,4
3,0.006399328354746103,4
4,0.006281476933509111,4
5,0.006224351469427347,4
6,0.0061807832680642605,4
7,0.006152445916086435,4
8,0.006115486845374107,4
9,0.0060865990817546844,4
10,0.006067232694476843,4
11,0.006051229313015938,4
12,0.006035761907696724,4
13,0.00601999880746007,4
14,0.00601013982668519,4
15,0.005994393490254879,4
16,0.0059920409694314,4
17,0.0059926859103143215,4
18,0.005990810692310333,4
19,0.005991517100483179,4
20,0.005987647455185652,4
21,0.005987154319882393,4
22,0.005984968040138483,4
23,0.0059831226244568825,4
24,0.005982855334877968,4
25,0.005980843678116798,4
26,0.005979184526950121,4
27,0.005974852945655584,4
28,0.005973204970359802,4
29,0.005972134880721569,4
30,0.005969089921563864,4
31,0.005964594427496195,4
32,0.005965044256299734,4
33,0.005961292423307896,4
34,0.005957721266895533,4
35,0.005956841632723808,4
36,0.005952203180640936,4
37,0.005948393139988184,4
38,0.005948076024651527,4
39,0.005943345837295055,4
40,0.0059392452239990234,4
41,0.00593743147328496,4
42,0.005933604668825865,4
43,0.005931116174906492,4
44,0.0059293704107403755,4
45,0.005923196207731962,4
46,0.005918483715504408,4
47,0.00591654097661376,4
48,0.005913331173360348,4
49,0.005910537671297789,4
50,0.005906365811824799,4
51,0.005901702679693699,4
52,0.005900134798139334,4
53,0.0058947294019162655,4
54,0.005891120061278343,4
55,0.005888996180146933,4
56,0.005883289501070976,4
57,0.005881309509277344,4
58,0.005878015421330929,4
59,0.005874374881386757,4
60,0.0058717322535812855,4
61,0.005868873093277216,4
62,0.0058645508252084255,4
63,0.005863152910023928,4
64,0.005861397832632065,4
65,0.005859175696969032,4
66,0.005854063201695681,4
67,0.005852323025465012,4
68,0.0058497353456914425,4
69,0.005847096908837557,4
70,0.005843429360538721,4
71,0.005842074751853943,4
72,0.005841062404215336,4
73,0.005837917327880859,4
74,0.0058375271037220955,4
75,0.005834419280290604,4
76,0.005830402951687574,4
77,0.005827403627336025,4
78,0.005825951229780912,4
79,0.005827309563755989,4
80,0.0058241733349859715,4
81,0.005824511405080557,4
82,0.0058234683237969875,4
83,0.005823040846735239,4
84,0.0058242701925337315,4
85,0.005823910236358643,4
86,0.005824937019497156,4
87,0.005823190789669752,4
88,0.005822496954351664,4
89,0.005822489969432354,4
90,0.005820842459797859,4
91,0.005821550730615854,4
92,0.005823072511702776,4
93,0.005820130463689566,4
94,0.005821350030601025,4
95,0.005820450838655233,4
96,0.005817988887429237,4
97,0.005817247088998556,4
98,0.0058187381364405155,4
99,0.005817899946123362,4
