Image,ESPCN PSNR,BICUBIC PSNR,Upscale
baboon.png,20.06308364868164,19.996479034423828,8
barbara.png,22.338733673095703,22.03974723815918,8
bridge.png,21.087055206298828,20.846912384033203,8
coastguard.png,22.120487213134766,21.892520904541016,8
comic.png,18.61392593383789,18.229516983032227,8
face.png,28.342082977294922,28.26721954345703,8
flowers.png,21.837024688720703,21.290437698364258,8
foreman.png,23.242807388305664,22.15185546875,8
lenna.png,25.649993896484375,25.029504776000977,8
man.png,22.118528366088867,21.766117095947266,8
monarch.png,22.618162155151367,21.960464477539062,8
pepper.png,25.26230239868164,24.546733856201172,8
ppt3.png,18.655364990234375,17.824899673461914,8
zebra.png,19.180036544799805,18.605201721191406,8
