Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,20.29873275756836,19.868162155151367,7
000002.png,24.577180862426758,23.855911254882812,7
000003.png,29.844942092895508,29.605133056640625,7
000004.png,21.29810333251953,21.0000057220459,7
000005.png,26.012508392333984,24.913835525512695,7
000006.png,23.175050735473633,22.736797332763672,7
000007.png,23.0137939453125,21.855777740478516,7
000008.png,22.1595458984375,21.19733428955078,7
000009.png,23.5520076751709,22.941532135009766,7
000010.png,25.63866424560547,24.763107299804688,7
000011.png,28.799320220947266,26.868667602539062,7
000012.png,25.07175636291504,24.753646850585938,7
000013.png,24.431602478027344,23.901395797729492,7
000014.png,25.657638549804688,24.356250762939453,7
000015.png,25.004764556884766,24.144271850585938,7
000016.png,27.60677719116211,26.850479125976562,7
000017.png,26.01624298095703,24.790966033935547,7
000018.png,21.628536224365234,21.36155891418457,7
000019.png,23.153465270996094,22.81930923461914,7
000020.png,24.428300857543945,23.48781394958496,7
000021.png,26.04839324951172,24.86638069152832,7
000022.png,25.960962295532227,25.258407592773438,7
000023.png,23.516408920288086,22.978668212890625,7
000024.png,23.336223602294922,22.735183715820312,7
000025.png,26.35491371154785,25.669918060302734,7
000026.png,25.55988121032715,24.713212966918945,7
000027.png,26.599994659423828,25.85641098022461,7
000028.png,25.746612548828125,25.34479331970215,7
000029.png,24.65005874633789,24.271404266357422,7
000030.png,25.133846282958984,24.915475845336914,7
