epoch,train_loss,Upscale
0,0.015272114425897598,7
1,0.009740304201841354,7
2,0.009129304438829422,7
3,0.008976331911981106,7
4,0.008906232193112373,7
5,0.00885321106761694,7
6,0.008805401623249054,7
7,0.00876871682703495,7
8,0.008733301423490047,7
9,0.008704924024641514,7
10,0.00868281815201044,7
11,0.008666879497468472,7
12,0.008656997233629227,7
13,0.008637319318950176,7
14,0.008627302944660187,7
15,0.008615613915026188,7
16,0.00861422624439001,7
17,0.008611075580120087,7
18,0.008610506542026997,7
19,0.008609703741967678,7
20,0.008606288582086563,7
21,0.008607586845755577,7
22,0.008603235706686974,7
23,0.008604174479842186,7
24,0.00860283337533474,7
25,0.008601706475019455,7
26,0.008598878048360348,7
27,0.008593810722231865,7
28,0.008594661951065063,7
29,0.008592887781560421,7
30,0.008592349477112293,7
31,0.008589163422584534,7
32,0.008585861884057522,7
33,0.008581578731536865,7
34,0.008582077920436859,7
35,0.0085760448127985,7
36,0.00857393629848957,7
37,0.008569392375648022,7
38,0.008565197698771954,7
39,0.008564102463424206,7
40,0.008559887297451496,7
41,0.008556769229471684,7
42,0.008555084466934204,7
43,0.008550155907869339,7
44,0.008545460179448128,7
45,0.00854389276355505,7
46,0.008541272953152657,7
47,0.00853738747537136,7
48,0.008533980697393417,7
49,0.008531922474503517,7
50,0.008528451435267925,7
51,0.008527313359081745,7
52,0.008524416945874691,7
53,0.008520080707967281,7
54,0.008515453897416592,7
55,0.008516219444572926,7
56,0.008511357009410858,7
57,0.008508894592523575,7
58,0.00850692205131054,7
59,0.008505178615450859,7
60,0.008503380231559277,7
61,0.008499805815517902,7
62,0.008495420217514038,7
63,0.008500824682414532,7
64,0.008494144305586815,7
65,0.008489761501550674,7
66,0.00849146768450737,7
67,0.008489604108035564,7
68,0.008485184982419014,7
69,0.008482414297759533,7
70,0.008480269461870193,7
71,0.008480221964418888,7
72,0.008480686694383621,7
73,0.008475405164062977,7
74,0.008472055196762085,7
75,0.008471468463540077,7
76,0.008472505025565624,7
77,0.008470292203128338,7
78,0.008470563217997551,7
79,0.008467751555144787,7
80,0.00846748799085617,7
81,0.008464857004582882,7
82,0.008462551981210709,7
83,0.008465475402772427,7
84,0.008465927094221115,7
85,0.00846476573497057,7
86,0.00846259854733944,7
87,0.008464990183711052,7
88,0.008463279344141483,7
89,0.008462944999337196,7
90,0.008462096564471722,7
91,0.008462270721793175,7
92,0.00846357923001051,7
93,0.008463834412395954,7
94,0.008462363854050636,7
95,0.008462287485599518,7
96,0.008462637662887573,7
97,0.008462115190923214,7
98,0.008460541255772114,7
99,0.008462710306048393,7
