Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,23.53144645690918,22.83473014831543,3
000002.png,30.47161102294922,29.559635162353516,3
000003.png,36.341407775878906,35.86174392700195,3
000004.png,23.759775161743164,23.384897232055664,3
000005.png,32.20454406738281,30.857990264892578,3
000006.png,27.883373260498047,26.934383392333984,3
000007.png,27.52056121826172,26.674407958984375,3
000008.png,28.238075256347656,26.155601501464844,3
000009.png,27.64152717590332,27.211734771728516,3
000010.png,31.044349670410156,30.051761627197266,3
000011.png,35.9053840637207,34.132720947265625,3
000012.png,32.09823989868164,30.298059463500977,3
000013.png,28.92757797241211,28.21230125427246,3
000014.png,31.515140533447266,30.317594528198242,3
000015.png,31.56928253173828,30.504817962646484,3
000016.png,33.721473693847656,32.257110595703125,3
000017.png,32.57630920410156,31.394611358642578,3
000018.png,25.589527130126953,25.03252410888672,3
000019.png,28.303504943847656,27.380348205566406,3
000020.png,29.92190933227539,28.917295455932617,3
000021.png,32.6585807800293,30.924776077270508,3
000022.png,30.983924865722656,30.24945831298828,3
000023.png,27.768211364746094,26.849292755126953,3
000024.png,26.988040924072266,26.234235763549805,3
000025.png,31.351016998291016,30.466564178466797,3
000026.png,30.236587524414062,29.772289276123047,3
000027.png,32.28623580932617,31.415416717529297,3
000028.png,30.09910774230957,29.800247192382812,3
000029.png,30.535106658935547,29.357757568359375,3
000030.png,29.47260093688965,29.383296966552734,3
