Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,19.90199851989746,19.45260238647461,8
000002.png,23.566791534423828,22.985153198242188,8
000003.png,29.138916015625,28.847118377685547,8
000004.png,20.987876892089844,20.740055084228516,8
000005.png,25.0815372467041,24.122278213500977,8
000006.png,22.57530975341797,22.00298500061035,8
000007.png,22.334518432617188,21.179187774658203,8
000008.png,21.739974975585938,20.904863357543945,8
000009.png,23.134815216064453,22.502342224121094,8
000010.png,25.04347038269043,24.096834182739258,8
000011.png,27.96237564086914,25.88500213623047,8
000012.png,24.7341251373291,24.253433227539062,8
000013.png,24.190244674682617,23.425689697265625,8
000014.png,24.57583236694336,23.493972778320312,8
000015.png,24.070444107055664,23.214073181152344,8
000016.png,26.600568771362305,26.073280334472656,8
000017.png,25.146488189697266,24.097795486450195,8
000018.png,21.43643569946289,21.184425354003906,8
000019.png,22.57541275024414,22.223785400390625,8
000020.png,23.38222312927246,22.41701889038086,8
000021.png,25.33169174194336,24.218217849731445,8
000022.png,25.275501251220703,24.647018432617188,8
000023.png,23.02373504638672,22.370769500732422,8
000024.png,22.769184112548828,22.203218460083008,8
000025.png,25.815921783447266,24.98946762084961,8
000026.png,24.843294143676758,24.13968849182129,8
000027.png,25.902862548828125,25.24793243408203,8
000028.png,25.297286987304688,24.766403198242188,8
000029.png,24.05654525756836,23.62603187561035,8
000030.png,24.74411392211914,24.425071716308594,8
